#99990 lat=-72.012 lon=2.537 elev=1277 name=TROLL_I_ANTARKTIS
#4960 lat=60.2688 lon=11.4792 elev=130 name=RV2_UVESUND_BRU
11120 lat=60.2987 lon=11.16 elev=181 name=EIDSVOLL_VERK
#11125 lat=60.2852 lon=11.1358 elev=180 name=E6_ANDELVA
#11440 lat=60.5878 lon=11.147 elev=140 name=FV33_FEIRING
11450 lat=60.3943 lon=11.2303 elev=160 name=MINNESUND_JERNBANESTASJON
#11463 lat=60.3977 lon=11.2303 elev=150 name=E6_MINNESUND
4740 lat=60.1742 lon=11.051 elev=187 name=UKKESTAD
#11198 lat=60.2493 lon=11.0955 elev=200 name=FV176_NORDMOKORSET
17980 lat=59.8427 lon=10.8236 elev=92 name=OSLO_-_LJABRUVEIEN
18020 lat=59.8783 lon=10.7857 elev=135 name=OSLO_-_LAMBERTSETER
18160 lat=59.873 lon=10.7912 elev=118 name=NORDSTRAND
18210 lat=59.923 lon=10.804 elev=100 name=OSLO_-_HOVIN
18230 lat=59.9273 lon=10.8352 elev=90 name=ALNA
#18240 lat=59.9378 lon=10.8905 elev=160 name=EV6_FURUSET
18269 lat=59.954 lon=10.905 elev=123 name=OSLO_-_HAUGENSTUA
18270 lat=59.9667 lon=10.9333 elev=200 name=OSLO_-_VESTLI
#18410 lat=59.941 lon=10.798 elev=140 name=RV4_AKER_SYKEHUS
18420 lat=59.9463 lon=10.7903 elev=130 name=OSLO_-_DISEN
18450 lat=59.9719 lon=10.7894 elev=173 name=MARIDALSOSET
18500 lat=60.0513 lon=10.6878 elev=360 name=BJØRNHOLT
#18690 lat=59.9112 lon=10.7043 elev=20 name=E18_HJORTNES
18700 lat=59.9423 lon=10.72 elev=94 name=OSLO_-_BLINDERN
18701 lat=59.9423 lon=10.7201 elev=94 name=OSLO_-_BLINDERN_PLU
18815 lat=59.9048 lon=10.6826 elev=15 name=OSLO_-_BYGDØY
18920 lat=59.957 lon=10.7037 elev=240 name=OSLO_-_BESSERUD
18950 lat=59.9847 lon=10.6693 elev=514 name=TRYVANNSHØGDA
18980 lat=59.9203 lon=10.6343 elev=39 name=OSLO_-_LILLEAKER
#5495 lat=60.102 lon=12.063 elev=185 name=RV2_SIGERNESSJØEN
5590 lat=60.1903 lon=12.0067 elev=148 name=KONGSVINGER
5660 lat=60.2537 lon=12.0913 elev=150 name=ROVERUD
12180 lat=60.8028 lon=11.2028 elev=182 name=ILSENG
12290 lat=60.801 lon=11.0977 elev=132 name=HAMAR_II
#12291 lat=60.8048 lon=11.1113 elev=125 name=EV6_ÅKERSVIKA
12320 lat=60.818 lon=11.0697 elev=221 name=HAMAR_-_STAVSBERG
12520 lat=60.7915 lon=10.9588 elev=205 name=NES_PÅ_HEDMARK
12550 lat=60.7733 lon=10.8055 elev=128 name=KISE_PA_HEDMARK
#12580 lat=60.9153 lon=10.7955 elev=230 name=EV6_RUDSHØGDA
#12590 lat=60.928 lon=10.6725 elev=20 name=EV6_MJØSBRUA
12600 lat=60.9532 lon=10.681 elev=161 name=VEA
12800 lat=61.1143 lon=10.6722 elev=520 name=MESNA_-_TYRIA
#6690 lat=60.8632 lon=11.4172 elev=270 name=RV3_EBRU
#12050 lat=60.6215 lon=11.2997 elev=160 name=EV6_VIKSELV
#5330 lat=60.3582 lon=11.5898 elev=135 name=FV24_STORSJØEN
5350 lat=60.3883 lon=11.5581 elev=147 name=NORD-ODAL
#5680 lat=60.3718 lon=12.0435 elev=170 name=FV390_FØTTASKJÆRET
6020 lat=60.6141 lon=12.0125 elev=185 name=FLISA_II
6440 lat=60.6925 lon=12.369 elev=276 name=VERMUNDSJØEN
#6580 lat=60.7525 lon=11.7625 elev=160 name=RV20_SORMA
#6700 lat=60.9573 lon=11.4902 elev=200 name=RV3_SVINGEN
60 lat=61.5581 lon=12.499 elev=564 name=LINNES
#90 lat=61.1185 lon=12.0647 elev=575 name=RV25_MIDTSKOGBERGET
100 lat=61.1349 lon=12.5039 elev=333 name=PLASSEN
#120 lat=61.2177 lon=12.6982 elev=580 name=FV569_FLERMOBERGET
180 lat=61.2944 lon=12.2719 elev=360 name=TRYSIL_VEGSTASJON
250 lat=61.4188 lon=12.3785 elev=664 name=ØRSJØSETRA
#6840 lat=61.1215 lon=11.3633 elev=230 name=RV3_RENA
7420 lat=61.3763 lon=11.4992 elev=872 name=RENA_-_ØRNHAUGEN
7950 lat=61.1858 lon=11.3705 elev=255 name=RENA_FLYPLASS
8140 lat=61.4255 lon=11.0803 elev=257 name=EVENSTAD_-_DIH
#8230 lat=61.5747 lon=11.0045 elev=283 name=RV3_KOPPANG
8300 lat=61.6933 lon=10.792 elev=640 name=NORDRE_BJØRÅA
8450 lat=61.791 lon=10.5008 elev=535 name=ATNDALEN_-_RØNNINGEN
8720 lat=61.8902 lon=10.1398 elev=749 name=ATNSJØEN
7660 lat=61.696 lon=11.2042 elev=260 name=ÅKRESTRØMMEN
7920 lat=62.108 lon=11.0357 elev=525 name=FINSTAD_-_NYHUS
#8800 lat=61.8645 lon=10.9097 elev=387 name=RV20_ØSTLUND
420 lat=61.6847 lon=11.9965 elev=481 name=HEGGERISET_-_NORDSTRAND
610 lat=61.8434 lon=11.8408 elev=690 name=GLØTVOLA_-_TRØAN
#670 lat=61.8405 lon=11.9928 elev=754 name=RV3_SKARVEN
700 lat=61.8872 lon=12.048 elev=672 name=DREVSJØ
730 lat=62.0758 lon=12.1722 elev=794 name=VALDALEN
770 lat=62.204 lon=11.4525 elev=713 name=ELLEFSPLASS
9580 lat=62.2695 lon=10.732 elev=482 name=TYNSET_-_HANSMOEN
9870 lat=62.4328 lon=10.4173 elev=690 name=BLANKTJERNMOEN_I_KVIKNE
66850 lat=62.5962 lon=10.271 elev=549 name=KVIKNE_I_ØSTERDAL
66860 lat=62.5843 lon=10.2738 elev=545 name=MOEN_I_KVIKNE
66890 lat=62.5775 lon=10.5583 elev=900 name=YA_-_HELGESTJØNNA
#66900 lat=62.4763 lon=10.3925 elev=695 name=RV3_KVIKNESKOGEN
66990 lat=62.5 lon=10.1677 elev=860 name=ØVRE_DØLVAD
